metric,value
R2,0.5242963565339033
R2_crop,0.5384706678581909
R2_forest,0.4945258186606827
R2_grass,0.5287829899207165
R2_shrub,0.5354059496960231
biasabs,0.12583480202248154
biasabs_crop,0.13557278464536146
biasabs_forest,0.12067602778161994
biasabs_grass,0.12129927375514032
biasabs_shrub,0.12579112190780442
nse,-0.4151339591680734
nse_crop,-0.38247659270181833
nse_forest,-0.4183916541563919
nse_grass,-0.360209799043298
nse_shrub,-0.5043674493523924
rmse,0.1777622387938113
rmse25,0.12551652188785256
rmse_0_5,0.12551652188785256
rmse_10_15,0.17664958683577986
rmse_15_20,0.18944127388101478
rmse_5_10,0.15219346927958066
rmse_crop,0.19197269407856365
rmse_forest,0.17384012677814561
rmse_grass,0.17277053685741228
rmse_shrub,0.1724655974611237
